"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"新增环境：环境名称不能为空","618","新增环境：环境名称不能为空","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"用户名大于30字符","59","用户名大于30字符","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"新增环境：环境地址不能为空","621","新增环境：环境地址不能为空","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"用户名有特殊字符","61","用户名有特殊字符","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"登录成功，断言url 和title","418","登录成功，断言url 和title","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"项目列表页搜索功能， 模拟搜索0个结果","92","项目列表页搜索功能， 模拟搜索0个结果","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"新增环境：环境地址必须以http:或 https:开头","936","新增环境：环境地址必须以http:或 https:开头","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"添加模块-模块名称不能为空","87","添加模块-模块名称不能为空","cases","2026-08-29","passed","2026-08-29","TestAddModule","test_add_module","",""
"密码框6-16位","46","密码框6-16位","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","82","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","2026-08-29","passed","2026-08-29","TestAddProject","test_add_project","",""
"新增环境：环境名称已存在","851","新增环境：环境名称已存在","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"登录失败场景","924","登录失败场景","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"服务器异常 500 状态码","134","服务器异常 500 状态码","cases","2026-08-29","passed","2026-08-29","TestAddProject","test_add_project","",""
"表格行内编辑","4739","表格行内编辑","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"新增环境：不能有特殊字符","555","新增环境：不能有特殊字符","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"密码框不能有特殊字符","48","密码框不能有特殊字符","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"用户名为空，点注册","93","用户名为空，点注册","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"新增环境：点取消按钮","841","新增环境：点取消按钮","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"用户名有特殊字符","67","用户名有特殊字符","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"密码框6-16位","47","密码框6-16位","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"用户名大于30字符","68","用户名大于30字符","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"添加模块-项目名称不能为空","81","添加模块-项目名称不能为空","cases","2026-08-29","passed","2026-08-29","TestAddModule","test_add_module","",""
"密码框不能为空","108","密码框不能为空","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"用户名为空，点注册","97","用户名为空，点注册","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"测试注册正常流程，注册成功","431","测试注册正常流程，注册成功","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"表格行内 链接","4625","表格行内 链接","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"新增环境：环境地址必须以http:或 https:开头","956","新增环境：环境地址必须以http:或 https:开头","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"提交成功，跳转到项目列表","3862","提交成功，跳转到项目列表","cases","2026-08-29","passed","2026-08-29","TestAddProject","test_add_project","",""
"新增项目：模态框取消按钮","742","新增项目：模态框取消按钮","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"新增项目：项目名称为空","570","新增项目：项目名称为空","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","84","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","2026-08-29","passed","2026-08-29","TestAddProject","test_add_project","",""
"异常场景-项目名称，无效等价：特殊字符/大于30个字符","89","异常场景-项目名称，无效等价：特殊字符/大于30个字符","cases","2026-08-29","passed","2026-08-29","TestAddProject","test_add_project","",""
"添加模块-模块名称添加成功","5446","添加模块-模块名称添加成功","cases","2026-08-29","passed","2026-08-29","TestAddModule","test_add_module","",""
"登录正常流程","2747","登录正常流程","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"新增环境：环境地址必须以http:或 https:开头","954","新增环境：环境地址必须以http:或 https:开头","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"新增环境：大于30个字符","622","新增环境：大于30个字符","cases","2026-08-29","passed","2026-08-29","TestEnvList","test_env_list","",""
"项目列表页搜索功能， 模拟搜索一个结果","95","项目列表页搜索功能， 模拟搜索一个结果","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"新增项目：项目名称重复，状态码400","547","新增项目：项目名称重复，状态码400","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
"登录失败场景","906","登录失败场景","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"登录正常流程， 获取异步ajax 响应","21833","登录正常流程， 获取异步ajax 响应","cases","2026-08-29","passed","2026-08-29","TestLogin","test_login","",""
"已有账号？点这登录","145","已有账号？点这登录","cases","2026-08-29","passed","2026-08-29","TestRegister","test_register","",""
"新增项目成功，跳转到列表页","805","新增项目成功，跳转到列表页","cases","2026-08-29","passed","2026-08-29","TestProjectList","test_project_list","",""
